INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2020;3;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;3;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;-3;-3;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;1;;;1;;;;;;;1;;;
9434;2020;3;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;3;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;3;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;144;16;0;0;6;10;4;4;6;10;10;10;16;24;2251;27;14;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;4;-3;2;0;0;0;0;4;6;1;;;1;;;;;;;;;;
9434;2020;3;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;288;412;128;74;44;166;20;26;36;60;100;176;222;120;2115;32;18;1610;4;28;20;16;50;4;6;18;16;20;12;2;6;8;8;12;10;6;24;60;34;34;10;4;1;;;;;;;;1;;;;;
9434;2020;3;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;2;6;4;2;0;0;2;2;2;2;2;4;6;12;9999;;;36;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;1;;;;;
9434;2020;3;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;1;;;;;
9434;2020;3;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;1;;;1;;;;;
9434;2020;3;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;1;;;;;
9434;2020;3;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;;;;;
9434;2020;3;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;3;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;8;8;-3;8;-3;0;6;6;8;8;8;8;8;36;1228;14;14;36;0;0;0;0;0;-3;-3;0;0;0;0;0;8;0;-3;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;
9434;2020;3;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;8;8;0;0;0;8;4;6;6;8;8;8;8;24;2215;13;21;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;1;;;;;;;;;;;;;
9434;2020;3;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;-3;-3;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;;10;18;1;-3;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;1;;;;;
9434;2020;3;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;;;
9434;2020;3;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;3;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;3;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;;;
9434;2020;3;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;46;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;;;
9434;2020;3;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;154;154;46;64;38;6;6;8;12;20;36;70;108;36;9999;;;1241;2;14;18;6;2;4;0;-3;10;12;16;18;8;4;4;8;10;12;4;0;0;0;2;0;1;1;;;;;;;1;;;;;
