INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LATITUD;IND_SYN;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;FORMA;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2019;12;11;ZARAGOZA/AEROPUERTO;249;413938;8160;6;6;0;6;0;0;2;4;4;4;6;6;6;12;9999;;;42;0;0;0;0;0;0;0;0;0;0;4;-3;2;0;0;0;0;0;0;0;0;0;0;0;100;1;;;;;;;;;;1;;;
9434;2019;12;12;ZARAGOZA/AEROPUERTO;249;413938;8160;62;58;0;-3;38;20;4;6;8;12;20;46;58;24;9999;;;713;0;0;0;0;0;0;0;0;0;0;0;0;-3;4;12;4;6;12;8;-3;0;2;4;6;100;1;;;;;;;;;;1;;;
9434;2019;12;13;ZARAGOZA/AEROPUERTO;249;413938;8160;-3;4;4;-3;-3;0;2;2;2;2;2;4;4;12;9999;;;29;2;0;2;-3;0;0;0;-3;-3;0;0;0;0;0;0;-3;-3;-3;0;0;0;0;0;0;100;1;;;;;;;;;;1;;;
9434;2019;12;14;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2019;12;15;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2019;12;16;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2019;12;17;ZARAGOZA/AEROPUERTO;249;413938;8160;18;18;0;0;0;18;8;12;14;18;18;18;18;48;2135;24;18;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;16;2;0;100;1;;;;;;;;1;;;;;
9434;2019;12;18;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2019;12;19;ZARAGOZA/AEROPUERTO;249;413938;8160;32;-3;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;0;0;0;0;0;100;1;;;;;;;;;;1;;;
9434;2019;12;20;ZARAGOZA/AEROPUERTO;249;413938;8160;6;38;32;4;2;-3;12;20;22;24;30;36;36;72;508;30;17;204;0;0;0;0;4;24;4;4;0;0;0;0;0;0;0;-3;2;0;-3;0;0;0;-3;0;100;1;;;;;;;;;;1;;;
9434;2019;12;21;ZARAGOZA/AEROPUERTO;249;413938;8160;54;54;0;14;38;2;16;16;18;28;34;48;54;96;1350;9;11;133;0;0;0;0;0;0;0;0;0;0;14;0;0;20;12;2;0;4;2;0;0;0;0;0;100;1;;;;;;;;;;1;;;
9434;2019;12;22;ZARAGOZA/AEROPUERTO;249;413938;8160;4;4;0;0;4;0;2;4;4;4;4;4;4;12;9999;;;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;4;0;0;0;0;0;0;100;1;;;;;;;;;;1;;;
9434;2019;12;23;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2019;12;24;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;
9434;2019;12;25;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;;;;;;;;
9434;2019;12;26;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;;;;;1;;;
9434;2019;12;27;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;
9434;2019;12;28;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;;;;;;
9434;2019;12;29;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;1;;;;;
9434;2019;12;30;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;1;;;;;
9434;2019;12;31;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;1;;;;;
