INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;FORMA;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2018;12;15;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;
9434;2018;12;16;ZARAGOZA/AEROPUERTO;249;100152;413938;2;2;0;2;0;0;2;2;2;2;2;2;2;12;903;4;8;13;0;0;0;0;0;0;0;0;-3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;;;;;;;;;;1;;;
9434;2018;12;17;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;I
9434;2018;12;18;ZARAGOZA/AEROPUERTO;249;100152;413938;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;;;;;;;1;;;;;;;
9434;2018;12;19;ZARAGOZA/AEROPUERTO;249;100152;413938;0;-3;-3;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;;;;;0;0;0;0;-3;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;;;;;;;;;;
9434;2018;12;20;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2018;12;21;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;
9434;2018;12;22;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;1;;;;;
9434;2018;12;23;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;;;;;;;;
9434;2018;12;24;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;1;;;;;
9434;2018;12;25;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;1;;;;;
9434;2018;12;26;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;1;;;;;
9434;2018;12;27;ZARAGOZA/AEROPUERTO;249;100152;413938;-3;-3;0;-3;0;0;-3;-3;-3;-3;-3;-3;-3;-3;;;;;0;0;0;0;0;0;0;-3;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;3;;;;;;;;1;;;;;
9434;2018;12;28;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;1;;;;;
9434;2018;12;29;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;1;;1;;;;;
9434;2018;12;30;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;2;;1;;1;;;;;
9434;2018;12;31;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;2;;1;;1;;;;;
